POI_type,POI,latitude,longitude,category
highway,traffic_signals,24.4519523,122.9439556,transportation
amenity,police,24.4511259,122.9459816,public_services
amenity,post_office,24.4521748,122.9432995,public_services
amenity,ferry_terminal,24.4507867,122.9420342,transportation
amenity,social_facility,24.4650033,122.9566446,public_services
amenity,restaurant,24.4535479,122.9437118,business
amenity,post_box,24.4521403,122.9432915,public_services
amenity,cafe,24.4500963,122.9432007,business
amenity,restaurant,24.4525963,122.9447126,business
tourism,guest_house,24.4509084,122.9428389,tourism
public_transport,platform,24.4515554,122.9432108,transportation
tourism,information,24.4568577,122.943483,tourism
shop,convenience,24.4515122,122.9434131,business
amenity,pub,24.4513538,122.9444415,business
amenity,pub,24.4519366,122.9441908,business
tourism,guest_house,24.4513265,122.9444773,tourism
amenity,place_of_worship,24.44795,122.9403064,public_services
