hour,Reference_Id,Location,Day,Ratio,Adjusted_ratio
0,804,セブンイレブン池袋北口平和通り 7-eleven,Friday,0.45,0.45
1,804,セブンイレブン池袋北口平和通り 7-eleven,Friday,0.32,0.32
2,804,セブンイレブン池袋北口平和通り 7-eleven,Friday,0.25,0.25
3,804,セブンイレブン池袋北口平和通り 7-eleven,Friday,0.34,0.34
4,804,セブンイレブン池袋北口平和通り 7-eleven,Friday,0.3,0.3
5,804,セブンイレブン池袋北口平和通り 7-eleven,Friday,0.32,0.32
6,804,セブンイレブン池袋北口平和通り 7-eleven,Friday,0.5,0.5
7,804,セブンイレブン池袋北口平和通り 7-eleven,Friday,0.63,0.63
8,804,セブンイレブン池袋北口平和通り 7-eleven,Friday,0.78,0.78
9,804,セブンイレブン池袋北口平和通り 7-eleven,Friday,0.74,0.74
10,804,セブンイレブン池袋北口平和通り 7-eleven,Friday,0.8,0.8
11,804,セブンイレブン池袋北口平和通り 7-eleven,Friday,0.65,0.65
12,804,セブンイレブン池袋北口平和通り 7-eleven,Friday,0.67,0.67
13,804,セブンイレブン池袋北口平和通り 7-eleven,Friday,0.58,0.58
14,804,セブンイレブン池袋北口平和通り 7-eleven,Friday,0.58,0.58
15,804,セブンイレブン池袋北口平和通り 7-eleven,Friday,0.5,0.5
16,804,セブンイレブン池袋北口平和通り 7-eleven,Friday,0.54,0.54
17,804,セブンイレブン池袋北口平和通り 7-eleven,Friday,0.61,0.61
18,804,セブンイレブン池袋北口平和通り 7-eleven,Friday,0.76,0.76
19,804,セブンイレブン池袋北口平和通り 7-eleven,Friday,0.74,0.74
20,804,セブンイレブン池袋北口平和通り 7-eleven,Friday,0.69,0.69
21,804,セブンイレブン池袋北口平和通り 7-eleven,Friday,0.5,0.5
22,804,セブンイレブン池袋北口平和通り 7-eleven,Friday,0.54,0.54
23,804,セブンイレブン池袋北口平和通り 7-eleven,Friday,0.56,0.56
0,804,セブンイレブン池袋北口平和通り 7-eleven,Monday,0.47,0.47
1,804,セブンイレブン池袋北口平和通り 7-eleven,Monday,0.4,0.4
2,804,セブンイレブン池袋北口平和通り 7-eleven,Monday,0.34,0.34
3,804,セブンイレブン池袋北口平和通り 7-eleven,Monday,0.45,0.45
4,804,セブンイレブン池袋北口平和通り 7-eleven,Monday,0.4,0.4
5,804,セブンイレブン池袋北口平和通り 7-eleven,Monday,0.49,0.49
6,804,セブンイレブン池袋北口平和通り 7-eleven,Monday,0.6,0.6
7,804,セブンイレブン池袋北口平和通り 7-eleven,Monday,0.7,0.7
8,804,セブンイレブン池袋北口平和通り 7-eleven,Monday,0.72,0.72
9,804,セブンイレブン池袋北口平和通り 7-eleven,Monday,0.72,0.72
10,804,セブンイレブン池袋北口平和通り 7-eleven,Monday,0.6,0.6
11,804,セブンイレブン池袋北口平和通り 7-eleven,Monday,0.58,0.58
12,804,セブンイレブン池袋北口平和通り 7-eleven,Monday,0.63,0.63
13,804,セブンイレブン池袋北口平和通り 7-eleven,Monday,0.7,0.7
14,804,セブンイレブン池袋北口平和通り 7-eleven,Monday,0.81,0.81
15,804,セブンイレブン池袋北口平和通り 7-eleven,Monday,0.85,0.85
16,804,セブンイレブン池袋北口平和通り 7-eleven,Monday,0.78,0.78
17,804,セブンイレブン池袋北口平和通り 7-eleven,Monday,0.65,0.65
18,804,セブンイレブン池袋北口平和通り 7-eleven,Monday,0.69,0.69
19,804,セブンイレブン池袋北口平和通り 7-eleven,Monday,0.85,0.85
20,804,セブンイレブン池袋北口平和通り 7-eleven,Monday,0.9,0.9
21,804,セブンイレブン池袋北口平和通り 7-eleven,Monday,0.81,0.81
22,804,セブンイレブン池袋北口平和通り 7-eleven,Monday,0.61,0.61
23,804,セブンイレブン池袋北口平和通り 7-eleven,Monday,0.52,0.52
0,804,セブンイレブン池袋北口平和通り 7-eleven,Saturday,0.5,0.5
1,804,セブンイレブン池袋北口平和通り 7-eleven,Saturday,0.4,0.4
2,804,セブンイレブン池袋北口平和通り 7-eleven,Saturday,0.36,0.36
3,804,セブンイレブン池袋北口平和通り 7-eleven,Saturday,0.21,0.21
4,804,セブンイレブン池袋北口平和通り 7-eleven,Saturday,0.32,0.32
5,804,セブンイレブン池袋北口平和通り 7-eleven,Saturday,0.32,0.32
6,804,セブンイレブン池袋北口平和通り 7-eleven,Saturday,0.4,0.4
7,804,セブンイレブン池袋北口平和通り 7-eleven,Saturday,0.36,0.36
8,804,セブンイレブン池袋北口平和通り 7-eleven,Saturday,0.49,0.49
9,804,セブンイレブン池袋北口平和通り 7-eleven,Saturday,0.58,0.58
10,804,セブンイレブン池袋北口平和通り 7-eleven,Saturday,0.54,0.54
11,804,セブンイレブン池袋北口平和通り 7-eleven,Saturday,0.49,0.49
12,804,セブンイレブン池袋北口平和通り 7-eleven,Saturday,0.54,0.54
13,804,セブンイレブン池袋北口平和通り 7-eleven,Saturday,0.72,0.72
14,804,セブンイレブン池袋北口平和通り 7-eleven,Saturday,0.78,0.78
15,804,セブンイレブン池袋北口平和通り 7-eleven,Saturday,0.87,0.87
16,804,セブンイレブン池袋北口平和通り 7-eleven,Saturday,0.85,0.85
17,804,セブンイレブン池袋北口平和通り 7-eleven,Saturday,0.83,0.83
18,804,セブンイレブン池袋北口平和通り 7-eleven,Saturday,0.7,0.7
19,804,セブンイレブン池袋北口平和通り 7-eleven,Saturday,0.65,0.65
20,804,セブンイレブン池袋北口平和通り 7-eleven,Saturday,0.67,0.67
21,804,セブンイレブン池袋北口平和通り 7-eleven,Saturday,0.81,0.81
22,804,セブンイレブン池袋北口平和通り 7-eleven,Saturday,0.83,0.83
23,804,セブンイレブン池袋北口平和通り 7-eleven,Saturday,0.67,0.67
0,804,セブンイレブン池袋北口平和通り 7-eleven,Sunday,0.29,0.29
1,804,セブンイレブン池袋北口平和通り 7-eleven,Sunday,0.32,0.32
2,804,セブンイレブン池袋北口平和通り 7-eleven,Sunday,0.38,0.38
3,804,セブンイレブン池袋北口平和通り 7-eleven,Sunday,0.36,0.36
4,804,セブンイレブン池袋北口平和通り 7-eleven,Sunday,0.45,0.45
5,804,セブンイレブン池袋北口平和通り 7-eleven,Sunday,0.49,0.49
6,804,セブンイレブン池袋北口平和通り 7-eleven,Sunday,0.47,0.47
7,804,セブンイレブン池袋北口平和通り 7-eleven,Sunday,0.49,0.49
8,804,セブンイレブン池袋北口平和通り 7-eleven,Sunday,0.52,0.52
9,804,セブンイレブン池袋北口平和通り 7-eleven,Sunday,0.67,0.67
10,804,セブンイレブン池袋北口平和通り 7-eleven,Sunday,0.67,0.67
11,804,セブンイレブン池袋北口平和通り 7-eleven,Sunday,0.56,0.56
12,804,セブンイレブン池袋北口平和通り 7-eleven,Sunday,0,0
