store_cd,cluster,silhouette_score,store_name_kanji,do_name,avg_impression,total_impression
40130,0,0.886477857269556,大田区上池台,目黒,971.0,971
78887,0,0.8961670631773724,大田区北千束３丁目,目黒,894.0,894
92456,0,0.8892871834048305,大田区鵜の木１丁目,目黒,967.0,967
134344,1,0.8200424310495446,目黒東山３丁目,目黒,1710.0,1710
245807,1,0.8022242260294559,目黒大橋１丁目,目黒,1739.0,1739
301747,0,0.8386893509766855,大田区下丸子３丁目,目黒,828.0,828
317978,0,0.6017180788754394,下丸子多摩堤通り,目黒,1129.0,1129
358859,0,0.8983930642222099,目黒元競馬場,目黒,925.0,925
436401,1,0.7500628614533551,目黒自由ヶ丘１丁目東,目黒,1515.0,1515
437636,0,0.8947755316355999,大田区下丸子ガス橋通り,目黒,889.0,889
486251,0,0.8191564942194665,大田区上池台３丁目,目黒,1026.0,1026
489521,0,0.8936600589493153,御嶽山駅前,目黒,956.0,956
490040,0,0.8801942243802708,目黒祐天寺駅西口,目黒,869.0,869
498081,0,0.8854139832036683,目黒油面,目黒,875.0,875
506751,0,0.894289759320434,目黒３丁目,目黒,888.0,888
507213,0,0.7452140619561434,大田区久ヶ原駅前,目黒,1069.0,1069
523293,1,0.7612187448253004,学芸大学駅西口,目黒,1522.0,1522
534316,0,0.887360528956845,大田区東雪谷,目黒,970.0,970
